root_sentence,perturbed_sentence,method
Then why the hell are the main characters driving a Kia Sportage?,"""Then why the hell are the main characters driving a Kia Sportage?""",diplomatic-attack
"Continuity, anyone?  As you might know, this movie was released in stereoscopic 3D.","Continuity, anyone? As a reminder, this movie was released in stereoscopic 3D.",paraphrasing
"Continuity, anyone?  As you might know, this movie was released in stereoscopic 3D.",This movie was released in stereoscopic 3D.,diplomatic-attack
And it is the most hideous effect I have ever seen.,And it is the most unsettling effect I have ever observed.,paraphrasing
And it is the most hideous effect I have ever seen.,"""And it is the most hideous effect I have ever seen.""",diplomatic-attack
"I'm not sure if someone botched the job on this, but there WAS no 3D, just double-vision blurs.","I'm not sure if someone hacked the job or not, but there were no 3D effects, just double-vision blurs.",paraphrasing
"I'm not sure if someone botched the job on this, but there WAS no 3D, just double-vision blurs.","""I'm not sure if someone botched the job on this, but there WAS no 3D, just double-vision blurs.""",diplomatic-attack
"I didn't have the same problem with this company's other 3D movies, HUNTING SEASON and CAMP BLOOD.","I didn't experience the same issue with the company's other 3D movies, HUNTING SEASON and CAMP BLOOD, as I did with CAMP BLOOD.",paraphrasing
"I didn't have the same problem with this company's other 3D movies, HUNTING SEASON and CAMP BLOOD.","""I didn't have the same problem with this company's other 3D movies, HUNTING SEASON and CAMP BLOOD.""",diplomatic-attack
"En route to a small town that lays way off the beaten track (but which looks suspiciously close to a freeway), a female reporter runs into a strange hitch-hiker who agrees to help direct her to her destination.","A female reporter is en route to a small town that lays far from the beaten path (but appears to be in close proximity to a freeway), when she encounters a strange hitch-hiker who agrees to help her reach her destination.",paraphrasing
"En route to a small town that lays way off the beaten track (but which looks suspiciously close to a freeway), a female reporter runs into a strange hitch-hiker who agrees to help direct her to her destination.","""En route to a small town that lays way off the beaten track (but which looks suspiciously close to a freeway), a female reporter runs into a strange hitch-hiker who agrees to help direct her to her destination.""",diplomatic-attack
"Without wishing to be a killjoy, Brad Sykes is responsible for at least two of the most dull and clichéd films i've ever seen - this being one of them, and Camp Blood being another.","Brad Sykes is responsible for two of the most boring and cliched movies I've ever seen, with this being one of them and Camp Blood being another.",paraphrasing
"Without wishing to be a killjoy, Brad Sykes is responsible for at least two of the most dull and clichéd films i've ever seen - this being one of them, and Camp Blood being another.","""Without wishing to be a killjoy, Brad Sykes is responsible for at least two of the most dull and clichéd films i've ever seen - this being one of them, and Camp Blood being another.""",diplomatic-attack
"  The acting is terrible, the print is shoddy, and everything about this film screams ""seriously, you could do better yourself"".","The film is plagued by subpar acting, subpar printing, and a message of ""you could do better yourself"".",paraphrasing
"  The acting is terrible, the print is shoddy, and everything about this film screams ""seriously, you could do better yourself"".","""The acting is terrible, the print is shoddy, and everything about this film screams ""seriously, you could do better yourself.""",diplomatic-attack
"Maybe this is a challenge to everyone to saturate youtube with our own zombie related crap?  I bought this for £1, but remember, you can't put a price on 71 minutes of your life.","Is it a challenge for everyone to bombard youtube with zombie-related content? I paid £1 for this, but you can't pay for 71 minutes of your life.",paraphrasing
"Maybe this is a challenge to everyone to saturate youtube with our own zombie related crap?  I bought this for £1, but remember, you can't put a price on 71 minutes of your life.","""Maybe this is a challenge to everyone to saturate youtube with our own zombie related crap? I bought this for £1, but remember, you can't put a price on 71 minutes of your life.""",diplomatic-attack
"You'd do well to avoid this turkey, even at a bargain basement price.","This turkey, even at a cheap basement price, is not something you'd want to come across.",paraphrasing
"You'd do well to avoid this turkey, even at a bargain basement price.","You'd do well to avoid this turkey, even at a bargain basement price.",diplomatic-attack
My girlfriend once brought around The Zombie Chronicles for us to watch as a joke.,My girlfriend once brought along The Zombie Chronicles for us to watch as a joke.,paraphrasing
My girlfriend once brought around The Zombie Chronicles for us to watch as a joke.,"""My girlfriend brought around The Zombie Chronicles for us to watch as a joke.""",diplomatic-attack
Little did we realize the joke was on her for paying £1 for it.,"We didn't realize until we paid £1 for it that it was all just a joke, unaware that we knew it was on her.",paraphrasing
Little did we realize the joke was on her for paying £1 for it.,"""Little did we realize the joke was on her for paying £1 for it.""",diplomatic-attack
While watching this film I started to come up with things I would rather be doing than watching The Zombie Chronicles.,"While watching this film, I started to think of things I would choose to do other than The Zombie Chronicles.",paraphrasing
While watching this film I started to come up with things I would rather be doing than watching The Zombie Chronicles.,"""While watching this film I started to come up with things I would rather be doing than watching The Zombie Chronicles.""",diplomatic-attack
The best ting he did was kick a door down (the best part of the film).,Kicking a door down (the highlight of the film) was the most impressive act he executed.,paraphrasing
The best ting he did was kick a door down (the best part of the film).,"""The best part of the movie was when he kicked a door down.""",diplomatic-attack
"This was the worst film I have ever seen, and I've seen White Noise: The Light.","I've watched White Noise: The Light, and it was the most terrible movie I've ever seen.",paraphrasing
"This was the worst film I have ever seen, and I've seen White Noise: The Light.","""This was the worst film I have ever seen, and I've seen White Noise: The Light.""",diplomatic-attack
"My girlfriend left it here, so now I live with the shame of owning this piece of crap.  News just in: Owen Wilson watched this film and tried to kill himself.","My girlfriend abandoned it in front of me, and now I regret owning such a disgraceful item. News briefing: Owen Wilson viewed this film and made a suicide attempt.",paraphrasing
"My girlfriend left it here, so now I live with the shame of owning this piece of crap.  News just in: Owen Wilson watched this film and tried to kill himself.","""My girlfriend left it here, so now I live with the shame of owning this piece of crap. News just in: Owen Wilson watched this film and tried to kill himself.""",diplomatic-attack
"Amateur, no budget films can be surprisingly good ... this however is not one of them.  Ah, another Brad Sykes atrocity.","This is not a typical example of a low-budget movie that can be considered surprisingly good, unlike Brad Sykes.",paraphrasing
"Amateur, no budget films can be surprisingly good ... this however is not one of them.  Ah, another Brad Sykes atrocity.","""Amateur, no budget films can be surprisingly good ... this however is not one of them. Ah, another Brad Sykes atrocity.""",diplomatic-attack
"The acting is hideous, except for Emmy Smith who shows some promise.","The acting quality is subpar, except for Emmy Smith who demonstrates some acting prowess.",paraphrasing
"The acting is hideous, except for Emmy Smith who shows some promise.","""The acting is hideous, except for Emmy Smith who shows some promise.""",diplomatic-attack
"And no more ""hold the camera and run"" gimmicks either; it just doesn't work.","No more ""holding the camera and running"" gimmicks; it just doesn't work either.",paraphrasing
"And no more ""hold the camera and run"" gimmicks either; it just doesn't work.","""It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work. It just doesn't work",diplomatic-attack
"The special effects are unimaginative, there's a problem when the effect can be identified in real time.","The special effects are not particularly impressive, there's a problem with identifying the effect in real-time.",paraphrasing
"The special effects are unimaginative, there's a problem when the effect can be identified in real time.","""The special effects are unimaginative, there's a problem when the effect can be identified in real time.""",diplomatic-attack
"If you're going to rip off an ear, please don't let us see the actor's real ear beneath the blood.","If you're going to rip off an ear, please don't allow the actor's real ear to be visible beneath the blood.",paraphrasing
"If you're going to rip off an ear, please don't let us see the actor's real ear beneath the blood.","""If you're going to rip off an ear, please don't let us see the actor's real ear beneath the blood.""",diplomatic-attack
"Apparently, the scriptwriter didn't.  Whoever is funding this guy ... please stop.",It seems like the scriptwriter didn't do it. Whose money is coming from this guy? Please stop.,paraphrasing
"Apparently, the scriptwriter didn't.  Whoever is funding this guy ... please stop.","Apparently, the scriptwriter didn't. Whoever is funding this guy ... please stop.""",diplomatic-attack
"I've seen some of his other ""home movies"" (which I will not plug) and they are just as bad.","I've watched some of his other ""home movies"" (which I won't discuss here) and they're just as terrible as the one I mentioned.",paraphrasing
"I've seen some of his other ""home movies"" (which I will not plug) and they are just as bad.","""I've seen some of his other ""home movies"" (which I will not plug) and they are just as bad.""",diplomatic-attack
"Normally, a ""director"" will grow and learn from his previous efforts ... not this guy.","Normally, a ""director"" will learn and grow from his past endeavors, but this individual is different.",paraphrasing
"Normally, a ""director"" will grow and learn from his previous efforts ... not this guy.","""Normally, a ""director"" will grow and learn from his previous efforts ... not this guy.""",diplomatic-attack
OK its not the best film I've ever seen but at the same time I've been able to sit and watch it TWICE!!!,"Despite not being the top-rated film, I've watched it twice (once as a fan and once as a non-fan).",paraphrasing
OK its not the best film I've ever seen but at the same time I've been able to sit and watch it TWICE!!!,OK its not the best film I've ever seen but at the same time I've been able to sit and watch it TWICE!!!,diplomatic-attack
"We've all made stuff like this when we've gotten a hold of a camera, but common sense prevails and these films languish in our cupboards somewhere.","We've all made things like this when we've gotten hold of a camera, but common sense prevails and these films end up in our cupboards somewhere.",paraphrasing
"We've all made stuff like this when we've gotten a hold of a camera, but common sense prevails and these films languish in our cupboards somewhere.","""We've all made stuff like this when we've gotten a hold of a camera, but common sense prevails and these films languish in our cupboards somewhere.""",diplomatic-attack
"I received this movie as a gift, I knew from the DVD cover, this movie are going to be bad.After not watching it for more than a year I finally watched it.","I got this movie as a gift, I knew from the DVD cover that this movie is going to be bad, but after not watching it for more than a year, I finally saw it.",paraphrasing
"I received this movie as a gift, I knew from the DVD cover, this movie are going to be bad.After not watching it for more than a year I finally watched it.","""I received this movie as a gift, I knew from the DVD cover, this movie are going to be bad. After not watching it for more than a year I finally watched it.""",diplomatic-attack
"They went to a supposed to be abandon house ,but luckily for the it almost complete furnished and a bottle of liquor on the door step happens to be there.","They went to a house that was supposed to be abandoned, but luckily, it was almost completely furnished and had a bottle of liquor waiting for them on the doorstep.",paraphrasing
"They went to a supposed to be abandon house ,but luckily for the it almost complete furnished and a bottle of liquor on the door step happens to be there.","""They went to a supposed to be abandon house ,but luckily for the it almost complete furnished and a bottle of liquor on the door step happens to be there.""",diplomatic-attack
his wife/girl fiend knows about this and she and her lover kills Sgt.,"Sgt.'s wife/girl fiend was informed of this by his wife/girl fiend, leading to the murder of Sgt.",paraphrasing
his wife/girl fiend knows about this and she and her lover kills Sgt.,"""This is a movie about a man who has a wife/girl fiend who knows about this and she and her lover kills Sgt.",diplomatic-attack
"I cant believe it was under the 2 night rental thing at blockbusters, instead of a please take this for free and get it out of our sight.","I'm surprised that it was listed under the 2 night rental thing at blockbusters, rather than a ""please take this free and get it out of our sight"" message.",paraphrasing
"I cant believe it was under the 2 night rental thing at blockbusters, instead of a please take this for free and get it out of our sight.","""I cant believe it was under the 2 night rental thing at Blockbusters, instead of a please take this for free and get it out of our sight.""",diplomatic-attack
"I think there was one semi decent actor other than the woman, i think the only thing OK with the budget was the make up, but they show every important scene of the film in the beginning music bit.","Despite the presence of a decent actor other than the woman, the budget was not a major issue with the make up, and every significant scene in the opening music video was shown without hesitation.",paraphrasing
"I think there was one semi decent actor other than the woman, i think the only thing OK with the budget was the make up, but they show every important scene of the film in the beginning music bit.","""I think there was one semi decent actor other than the woman, i think the only thing OK with the budget was the make up, but they show every important scene of the film in the beginning music bit.""",diplomatic-attack
"This movie is not for the typical film snob, unless you want to brush up on your typical cinematic definitions, like ""continuity editing"" and ""geographic match"".","Unless you want to brush up on your usual cinematic jargon on topics like ""continuity editing"" and ""geographic match"", this movie is not for you.",paraphrasing
"This movie is not for the typical film snob, unless you want to brush up on your typical cinematic definitions, like ""continuity editing"" and ""geographic match"".","""This movie is not for the typical film snob, unless you want to brush up on your typical cinematic definitions, like ""continuity editing"" and ""geographic match.""",diplomatic-attack
"One second they're in the present, next minute their supposedly in the 70's driving a modern SUV and wearing what looked like to me as 80's style clothing.","One minute they're in the zone, the next minute they're in the 70's driving a modern SUV and wearing what appeared to be 80's clothing.",paraphrasing
"One second they're in the present, next minute their supposedly in the 70's driving a modern SUV and wearing what looked like to me as 80's style clothing.","One second they're in the present, next minute their supposedly in the 70's driving a modern SUV and wearing what looked like to me as 80's style clothing.",diplomatic-attack
I couldn't pay long enough attention to it since the acting was just horrible.,"The acting was just awful, so I couldn't pay much attention to it for as long as I could.",paraphrasing
I couldn't pay long enough attention to it since the acting was just horrible.,I couldn't pay enough attention to it because the acting was just horrible.,diplomatic-attack
I think it only got attention because it has a 3d which I did not watch.,The reason I watched the movie was because it had a 3D movie that I had not seen before.,paraphrasing
I think it only got attention because it has a 3d which I did not watch.,"""I think it only got attention because it has a 3d which I did not watch.""",diplomatic-attack
"If you're a b-movie buff, and by b-movie I mean BAD movie, then this film is for you.","If you happen to be a b-movie aficionado, and I mean BAD movie, then this is the one for you.",paraphrasing
"If you're a b-movie buff, and by b-movie I mean BAD movie, then this film is for you.","""If you're a b-movie buff, and by b-movie I mean BAD movie, then this film is for you.""",diplomatic-attack
It's home-movie and all non-sense style will keep you laughing for as long as you can stay awake.,The humor in this home-movie and its non-sense style will keep you up for as long as you can watch it while you're awake.,paraphrasing
It's home-movie and all non-sense style will keep you laughing for as long as you can stay awake.,"""It's home-movie and all non-sense style will keep you laughing for as long as you can stay awake.""",diplomatic-attack
"If your tastes are more for Goddard and Antonioni, though, just skip this one.","If your preference is for Goddard and Antonioni, but not this one, then you're out of luck.",paraphrasing
"If your tastes are more for Goddard and Antonioni, though, just skip this one.","If you like Goddard and Antonioni, skip this one.",diplomatic-attack
"You have to admire Brad Sykes even if you don't particularly want to, a man who churns out budget horror after budget horror to less than enthusiastic receptions.","Brad Sykes, a man who churns out budget horror to less than enthusiastic receptions, even if you don't want to admire him, is a man you should admire.",paraphrasing
"You have to admire Brad Sykes even if you don't particularly want to, a man who churns out budget horror after budget horror to less than enthusiastic receptions.","""You have to admire Brad Sykes even if you don't particularly want to, a man who churns out budget horror after budget horror to less than enthusiastic receptions.""",diplomatic-attack
Even the half-hearted praise than surrounds his Camp Blood films is given grudgingly and I'm as guilty of this as anyone.,I'm not the only one who believes that the half-hearted praise of his Camp Blood movies is deserved and even more so than the half-hearted praise that comes with it.,paraphrasing
Even the half-hearted praise than surrounds his Camp Blood films is given grudgingly and I'm as guilty of this as anyone.,Even the half-hearted praise that surrounds his Camp Blood films is given grudgingly and I'm as guilty of this as anyone.,diplomatic-attack
Joe Haggerty gives a spirited and very funny performance as Ebenezer Jackson and its a credit to Sykes that he can sense that this oddball turn is going to work within the framework of the film.,"Joe Haggerty's portrayal of Ebenezer Jackson in the film is a lively and comical portrayal, and Sykes' confidence in the idiosyncratic sequence is a testament to the film's ability to make sense of it.",paraphrasing
Joe Haggerty gives a spirited and very funny performance as Ebenezer Jackson and its a credit to Sykes that he can sense that this oddball turn is going to work within the framework of the film.,"""Joe Haggerty gives a spirited and very funny performance as Ebenezer Jackson and its a credit to Sykes that he can sense that this oddball turn is going to work within the framework of the film.""",diplomatic-attack
"Coming to a multiplex near you, in a parallel universe, somewhere.","Coming near you in a multiplex, in a parallel universe, somewhere in between.",paraphrasing
"Coming to a multiplex near you, in a parallel universe, somewhere.","""It's not a movie you want to see, it's a movie you want to see in a parallel universe.""",diplomatic-attack
"Worse still, the two stories which make up the bulk of the running time are utterly routine, made worse by indifferent performances and lackluster direction by Brad Sykes, previously responsible for the likes of CAMP BLOOD (1999).","Worse still, the two stories that make up the majority of the running time are utterly routine, made worse by indifferent performances and lackluster direction by Brad Sykes, who was previously responsible for the likes of CAMP BLOOD (1999).",paraphrasing
"Worse still, the two stories which make up the bulk of the running time are utterly routine, made worse by indifferent performances and lackluster direction by Brad Sykes, previously responsible for the likes of CAMP BLOOD (1999).","""The two stories which make up the bulk of the running time are utterly routine, made worse by indifferent performances and lackluster direction by Brad Sykes, previously responsible for the likes of CAMP BLOOD (1999).""",diplomatic-attack
"A woman asks for advice on the road to reach a mysterious town, and hears two ghoulish stories from the local weirdo, both zombie related.","During a road trip to a mysterious town, a woman seeks advice from a stranger and is presented with two eerie tales, both of which are about zombies.",paraphrasing
"A woman asks for advice on the road to reach a mysterious town, and hears two ghoulish stories from the local weirdo, both zombie related.","""A woman asks for advice on the road to reach a mysterious town, and hears two ghoulish stories from the local weirdo, both zombie related.""",diplomatic-attack
But perhaps fate has something nasty in store for her too...  The Zombie Chronicles is absolutely one of the worst films I have ever seen.,"The Zombie Chronicles is one of the worst movies I have ever seen, and I'm not sure if fate holds out for her as well as she does...",paraphrasing
But perhaps fate has something nasty in store for her too...  The Zombie Chronicles is absolutely one of the worst films I have ever seen.,"""But perhaps fate has something nasty in store for her too... The Zombie Chronicles is absolutely one of the worst films I have ever seen.""",diplomatic-attack
"In fact I must confess, so bad was it I fast forwarded through most of the garbage.","It was so bad that I had to quickly forage through most of the garbage, and I must confess to being honest.",paraphrasing
"In fact I must confess, so bad was it I fast forwarded through most of the garbage.","""In fact I must confess, so bad was it that I fast forwarded through most of the garbage.""",diplomatic-attack
"It runs for just 69 minutes, and there is still tons of filler.","It lasts for 69 minutes, but there is still a significant amount of filler.",paraphrasing
"It runs for just 69 minutes, and there is still tons of filler.","""It runs for just 69 minutes, and there is still a lot of filler.""",diplomatic-attack
"Why, you get more undead action in the intro than you do the preceding feature!","Unlike the previous feature, you can expect to see more undead action in the intro segment!",paraphrasing
"Why, you get more undead action in the intro than you do the preceding feature!","""Why, you get more undead action in the intro than you do the preceding feature!""",diplomatic-attack
"I had to rub my eyes when I realised it was made in 2001, and not 1971.","It was made in 2001, not 1971, and I had to rub my eyes when I realized it had been made.",paraphrasing
"I had to rub my eyes when I realised it was made in 2001, and not 1971.","""I had to rub my eyes when I realised it was made in 2001, and not 1971.""",diplomatic-attack
"Even the clothes and fashioned look about three decades out of date!  If you think I'm not qualified to do a review of Chronicles having not seen the whole film, then go ahead.","If you think I'm not up to the task of reviewing Chronicles because I haven't watched it all the way through, then you're mistaken.",paraphrasing
"Even the clothes and fashioned look about three decades out of date!  If you think I'm not qualified to do a review of Chronicles having not seen the whole film, then go ahead.","Even the clothes and fashioned look about three decades out of date! If you think I'm not qualified to do a review of Chronicles having not seen the whole film, then go ahead.",diplomatic-attack
"YOU try sitting through it, I betcha you won't even make it to the first appearance of the blue-smartie coloured freaks before making your excuses and leaving.","I bet you won't even bother to sit through it, I bet you won't even make it to the first appearance of the blue-smartie coloured freaks before making your excuses and leaving.",paraphrasing
"YOU try sitting through it, I betcha you won't even make it to the first appearance of the blue-smartie coloured freaks before making your excuses and leaving.","""YOU try sitting through it, I betcha you won't even make it to the first appearance of the blue-smartie coloured freaks before making your excuses and leaving.""",diplomatic-attack
"It is truly laughable that anyone chose to release it, and honestly you'll get far more fun resting your drink on the disc than actually torturing your DVD player with this gigglesome excuse for horror.","The fact that someone decided to release it is truly comical, and honestly, you'll be much happier resting your drink on the disc than using the gigglesome excuse of horror on your DVD player.",paraphrasing
"It is truly laughable that anyone chose to release it, and honestly you'll get far more fun resting your drink on the disc than actually torturing your DVD player with this gigglesome excuse for horror.","""It is truly laughable that anyone chose to release it, and honestly you'll get far more fun resting your drink on the disc than actually torturing your DVD player with this gigglesome excuse for horror.""",diplomatic-attack
